Rang,Nom,Fortune,Société,Secteur
395,Famille Goulamaly,200,OCEINDE,holding
395,Jean-Claude Gueudet et sa famille,200,GUEUDET,automobile
395,Jean-Marie Guian et sa famille,200,SPB,assurances
395,Olivier Halley et sa famille,200,MAISON HALLEY,holdings
395,Jean-François Hénin et sa famille,200,PACIFICO,holding
395,Anne Jousse et sa famille,200,B SIGNATURE HOTELS & RESORTS,hôtellerie
395,Samy Marciano,200,LA CLE GROUP,hôtellerie
395,Familles Marnier Lapostolle,200,GRAND MARNIER,spiritueux
395,Robert Moor et sa famille,200,PROTEX,chimie
395,Bernard Rossmann et sa famille,200,ROSSMANN,industrie
395,Marc Senoble et sa famille,200,SENOBLE,agroalimentaire
395,Allan Sichel et sa famille,200,MAISON SICHEL,vins
395,Hugues Souparis,200,ENOWE,industrie
395,Pascal Teurquetil et sa famille,200,GROUPE MULLER,industrie
419,Stanislas de Bentzmann et Godefroy de Bentzmann,195,DEVOTEAM,services
419,Dominique Louis,195,ASSYSTEM,services
419,Henri Lurton et sa famille,195,BRANE CANTENAC,vins
419,Gérard Pélisson,63,ACCORHOTELS,hôtellerie
423,Pierre Antoine Castéja et sa famille,190,JOANNE,vins
423,Marie-Laurence Gouraud et Patricia Brochard et Bénédicte Mercier ainsi que leur famille,190,SODEBO,agroalimentaire
423,Bertrand Grosse et sa famille,190,LEON GROSSE,btp
423,Louis-Fabrice Latour et sa famille,190,LOUIS LATOUR,vins
423,Maurice Tchénio et sa famille,190,ALTAMIR,holding
428,Famille Barton,180,CHATEAU LEOVILLE BARTON,vins
428,Jean-Claude Bertojo et sa famille,180,SPIRIT,immobilier
428,Bernard Blachère et sa famille,180,GROUPE BLACHERE,distribution
428,Didier Blaise,180,ALLOPNEUS,distribution
428,Stéphane Bohbot,180,INNO8,télécoms
428,Thierry Bourdoncle,180,GROUPE BOURDONCLE,services
428,Emmanuel Boussard et Emmanuel Gavaudan,180,BOUSSARD GAVAUDAN,finance
428,famille Condat,180,GROUPE CONDAT,chimie
428,Jean-Yves Gautier et Antoine Gautier,180,STG,transports
428,Olivier Goy,180,OCTOBER,finance
428,famille Mähler-Besse,180,CHATEAU PALMER,vins
428,Eric Paumier et Frédéric Pons et Guillaume Salabert,180,HOPPS GROUP,transports
428,Jérôme Quentin-Mauroy et sa famille,180,TAGERIM,immobilier
428,Jean-Marie Savalle et sa famille,180,ISAGRI,numérique
428,Nicolas Walewski,180,ALKEN,finance
444,Yves Gonnord et sa famille,175,FLEURY MICHON,agroalimentaire
444,Jean-Pierre Gorgé et Raphaël Gorgé ainsi que leur famille,175,GROUPE GORGE,industrie
444,Famille Janoueix,175,JOSEPH JANOUEIX,vins
444,Alexandre Yazdi et Laurent Ritter,175,VOODOO,numérique
448,Franck Allard et sa famille,170,FILHET-ALLARD,assurances
448,Ludovic Asquini et Frédéric Gentilin et Grégory Poux ainsi que leur famille,40,NEXTEAM,aéronautique
448,Barbara Boccara et Sharon Krief et Dan Arrouas,170,BA&SH,habillement
448,famille Chapoutier,170,CHAPOUTIER,vins
448,Antoine Gallimard et sa famille,170,GROUPE MADRIGALL,distribution
448,Frédéric Jousset,170,WEBHELP,services
448,Isabel Marant,170,ISABEL MARANT,habillement
456,Jacques Bouthier,165,ASSU 2000,assurances
456,Emile di Serio et sa famille,165,SAINT JEAN INDUSTRIES,automobile
456,Henri Morel,165,SFPI,mécanique
456,Isidore Partouche et sa famille,165,GROUPE PARTOUCHE,services
460,Famille Aguettant,160,AGUETTANT,pharmacie
460,Jean-Claude Condamin et sa famille,160,SOGELYM DIXENCE,immobilier
460,Famille Cuvelier,160,CHATEAU LÉOVILLE POYFERRÉ,vins
460,Robert Daussun,160,LBO FRANCE GESTION,finance
460,Jérôme Fabre et sa famille,160,COMPAGNIE FRUITIERE,agroalimentaire
460,Olivier Ginon,160,GL EVENTS,services
460,Gérard Joulie et Christophe et Alexandre,160,GROUPE JOULIE,restauration
460,Patrick Martin et la famille Bradley-Martin,160,MARTIN-BELAYSOUD EXPANSION,distribution
460,Pascal Oddo et sa famille,80,VASGOS,finance
460,Jean-Marie Paluel-Marmont et sa famille,160,CIE LEBON,finance
460,Jean-Pierre Torck et sa famille,160,ARIANE,holding
460,Famille Tranchant,160,GROUPE TRANCHANT,casinos
460,Laurent Uberti et Olivier Camino,160,GROUPE SITEL,services
472,Famille Lemor,155,STEF,transports
473,Laurent Abitbol et Stéphane Abitbol ainsi que leur famille,150,MARIETTON,distribution
473,Pierre Andurand,150,ANDURAND CAPITAL MANAGEMENT LLP,finance
473,Jean-Patrice Bernard et sa famille,150,GROUPE BERNARD,automobile
473,famille Billarant,150,APLIX,industrie
473,Eric Carreel,0,WITHINGS,internet
473,Pierre Chartier et sa famille,150,ST-HERBLAIN DISTRIBUTION (LECLERC),distribution
473,Olivier Dolbeau et sa famille,150,AIRVANCE,industrie
473,Régis Dumange et Catherine Dumange ainsi que leur famille,150,TEXTILOT,distribution
473,Philippe Frantz et sa famille,150,GROUPE REEL,services
473,"Laurent Gardinier et Thierry, Stéphane et leur famille",150,GARDINIER & FILS,holdings
473,Pierre Gay et sa famille,150,COMAFRANC,btp
473,Hugues Giroud et Loic Giroud ainsi que leur famille,150,SOGEPAR,hôtellerie
473,Eric Kayser et sa famille,150,BOULANGERIE KAYSER,agroalimentaire
473,Pierre Lachaud et familles Lachaud et Brahimi,150,SICAME,services
473,Jérôme Lecat et Giorgio Regni,150,SCALITY,numérique
473,Famille Leflaive,150,DOMAINE LEFLAIVE,vins
473,Anne Leitzgen et sa famille,150,SCHMIDT GROUPE,industrie
473,Cédric Meeschaert et sa famille,150,MEESCHAERT,finance
473,Olivier Nicollin et Laurent Nicollin ainsi que leur famille,150,GROUPE NICOLLIN,services
473,Nicolas Olano et sa famille,150,GROUPE OLANO,transports
473,Raphael Palti,150,ALTAVIA,services
473,John Persenda et sa famille,150,SPHERE,industrie
473,Joseph Puzo et sa famille,150,AXON’CABLE,industrie
473,Mathieu Ramery et sa famille,150,RAMERY,btp
473,Joël Renault et sa famille,150,DELTA DORE FINANCE,domotique
473,Jacques Royer et sa famille,150,GROUPE ROYER,habillement
499,Gilles Schnepp,145,LEGRAND,industrie
500,François Roche et Jean-Eric Chouchan ainsi que leur famille,140,ROCHE BOBOIS,distribution
