Rang,Nom,Fortune,Société,Secteur
397,Jacques Moyrand et familles fondatrices,250,GATTEFOSSE,cosmétiques
397,Famille Odin,250,SOPRA STERIA,numérique
397,Familles Pol-Roger et de Billy,250,CHAMPAGNE POL-ROGER,vins
397,Famille Richard,250,CAFES RICHARD,distribution
397,Charles Robinet-Duffo et Rémy Robinet-Duffo ainsi que leur famille,250,GROUPE HENNER,assurances
397,Bernard Rossmann et sa famille,250,ROSSMANN,industrie
397,Nicolas Rousselet et sa famille,250,GROUPE ROUSSELET,holding
397,Christian Tafanel et Guy Tafanel ainsi que leur famille,250,TAFANEL,distribution
397,Frédéric Trinel et Pierre-François Thaler,250,ECOVADIS,services
397,Arnaud Vaissié,250,INTERNATIONAL SOS,services aux entreprises
421,Nicolas Dessaigne et Julien Lemoine,240,ALGOLIA,services
421,Thibaud Elziere,240,EFOUNDERS,numérique
421,Patrick Martin et la famille Bradley-Martin,240,MARTIN-BELAYSOUD EXPANSION,distribution
421,Olivier Monin et sa famille,240,GROUPE MONIN,agroalimentaire
421,Pierre Prieux,240,ALCEN,services
421,Emmanuel Vasseneix et sa famille,240,LAITERIE DE ST-DENIS DE L’HÔTEL,agroalimentaire
421,Alain Vauthier et Catherine Vauthier ainsi que leur famille,240,CHATEAU AUSONE,vins
428,Franck Allard et sa famille,230,FILHET-ALLARD,assurances
428,Jean-Charles Boisset et Nathalie Berges-Boisset ainsi que leur famille,230,GRANDS VINS JC BOISSET,vins
428,Francis Esmenard et sa famille,230,ALBIN MICHEL,distribution
428,Jean-Claude Gueudet et sa famille,230,GUEUDET,automobile
428,Matthieu Gufflet et management,230,EPSA,services
428,Joseph Helfrich et Gunther Bimmerle,230,GRANDS CHAIS DE FRANCE,vins
428,"Laurent Milchior et familles Milchior, Tarica, Lindemann",230,ETAM DEVELOPPEMENT,distribution
428,Thierry Petit et David Dayan ainsi que leur famille,230,SHOWROOMPRIVE,internet
428,Jean-Thomas Schmitt et sa famille,230,HEPPNER,transports
437,Isabelle Roch et et les héritiers de Charles Roch et de Henry-Frédéric Roch,225,ROMANEE CONTI,vins
438,Famille Aguettant,220,AGUETTANT,pharmacie
438,Philippe Baudesson de Chanville d'Arc et Christian Raisson,220,COLIBRI MANOMANO,numérique
438,Matthieu Beucher,220,KLAXOON,numérique
438,Jean-Paul Bize,220,AMS GROUP,holding
438,Pascal Bovis,220,GROUPE BOVIS,transports
438,Daniel Cathiard et Florence Cathiard ainsi que leur famille,220,CHATEAU SMITH HAUT LAFITTE,vins
438,Gilbert Costes et Thierry Costes,220,GROUPE BEAUMARLY,hôtellerie
438,Jean-Claude Labrune et sa famille,220,CEGEDIM,numérique
438,Christian Langlois-Meurinne et famille Meheut,220,IDI,finance
438,Jean-Louis Mosca,220,BY MY CAR GROUPE,automobile
438,Jean-Charles Naouri,220,RALLYE-CASINO,distribution
438,Michel Picoty et sa famille,220,PICOTY,distribution
438,Frédéric Puzin,220,CORUM,finance
438,Jérôme Quentin-Mauroy et sa famille,220,TAGERIM,immobilier
438,Paul Raguin et sa famille,220,EOLANE,industrie
438,Olivier Sadran,220,NEWREST,services
438,Laurent Uberti et Olivier Camino,220,GROUPE SITEL,services
455,Patrice Joppé et sa famille,145,GROUPE SAMSE,distribution
456,Jean-Luc Bernard,210,ASTEK,services
456,François-Xavier Borie et sa famille,210,CHATEAU GRAND PUY LACOSTE,vins
456,Jean-Claude Bourrelier et sa famille,210,BOURRELIER GROUPE,distribution
456,Michel Guerbet et sa famille,210,GUERBET,pharmacie
456,Jean-Marie Guian et sa famille,210,SPB,assurances
456,Henri Lurton et sa famille,210,BRANE CANTENAC,vins
456,Jean-Marie Savalle et sa famille,210,ISAGRI,numérique
456,Gilles Schnepp,210,LEGRAND,industrie
464,Eric Jacquet,205,JACQUET METAL SERVICE,industrie
465,Didier Blaise,200,ALLOPNEUS,distribution
465,Alex Bouaziz,200,DEEL,numérique
465,Serge Cachan et ses frères,200,ASTOTEL,hôtellerie
465,Jean-Claude Condamin et sa famille,200,SOGELYM DIXENCE,immobilier
465,famille Condat,200,GROUPE CONDAT,chimie
465,Thierry Déau,200,MERIDIAM,finance
465,Olivier Dellenbach et Béatrice Dellenbach,200,CHAPSVISION,numérique
465,Lionel Desage et Guillaume Franc,200,YNOV,enseignement
465,François Dutilleul et sa famille,200,RABOT DUTILLEUL,btp
465,Olivier Goy,200,OCTOBER,finance
465,Marc Grosman et Laurent Grosman ainsi que leur famille,200,CELIO,habillement
465,François Guichard et Pierre Guichard ainsi que leur famille,200,CLINIQUES GBNA,santé
465,Louis-Fabrice Latour et sa famille,200,LOUIS LATOUR,vins
465,Ludovic Le Moan et Christophe Fourtet,200,SIGFOX,numérique
465,Laure Louis-Dreyfus,200,LOUIS-DREYFUS COMPANY,holding
465,Famille Machefert,200,GROUPE MACHEFERT,hôtellerie
465,Alain Martineau et sa famille,200,GROUPE MECANIQUE DECOUPAGE,automobile
465,Franky Mulliez,200,KILOUTOU,services
465,Dominique Pellé,200,GALACTUS INVEST,maisons de retraite
465,Alexandre Prot et Steve Anavi,200,QONTO OLINDA,finance
465,Allan Sichel et sa famille,200,MAISON SICHEL,vins
465,Derek Remy Smith,200,TRESOR DU PATRIMOINE,distribution
465,Pascal Teurquetil et sa famille,200,GROUPE MULLER,industrie
465,Michel Venturini et sa famille,200,AUVENT,holding
490,Famille Lurton,195,VIGNOBLES ANDRE LURTON,vins
491,famille Chapoutier,190,CHAPOUTIER,vins
491,Marie-Laurence Gouraud et Patricia Brochard et Bénédicte Mercier ainsi que leur famille,190,SODEBO,agroalimentaire
491,famille Mähler-Besse,190,CHATEAU PALMER,vins
491,Jean-Bernard Maurin,190,GROUPE MAURIN,automobile
491,Alain Moussy,190,AB SCIENCE,pharmacie
491,John Persenda et sa famille,190,SPHERE,industrie
491,Henri Seydoux,190,PARROT,electronique
491,Guy Tempereau et sa famille,190,GROUPE SERIS,services
499,Daniel Harari,185,LECTRA,numérique
500,Thierry Le Guénic,180,BURTON CAPITAL,distribution
